ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
452     ..3      4106-01115-16     sms #6X1 pl-hwh-a                                 3
453     ..3      A-15471           5 lamp & brkt assy                                1
454     ...4     A-15457           5 lamp pcb assy                                   1
455     ....5    24-8802           bulb #906 13V 0.69                                5
456     ....5    24-8805           socket-pcb H wedge                                5
457     ....5    5791-10871-07     7h spl sq pin .156                                1
458     ....5    5768-13199-00     PCB-5 lamp                                        1
459     ...4     01-10712          brkt 5 lamp mounting                              2
460     ...4     07-6688-18N       rivet 3/16X1/8 nickel                             2
461     ...4     4700-00003-00     fw .125X.281X.032                                 2
462     ..3      A-11905           socket & #44 bulb assy                            2
463     ..3      A-11271           socket & #44 bulb assy                            4
464     ...4     A-11271-1         skt & bulb sub-assy                               4
465     ...4     5070-09054-00     diode-1N4004 1.0a                                 4
466     ..3      H-15494           boat sw lamp cable                                1
467     ...4     H-15494-C         boat/sw lamp cable cut-wire                       1
468     ....5    CW-30022-28       wire 22awg red/gry                               18
469     ....5    CW-30022-27       wire 22awg red/vio                               14
470     ....5    CW-30022-26       wire 22awg red/blu                               18
471     ....5    CW-30022-25       wire 22awg red/grn                               14
472     ....5    CW-30022-43       wire 22awg yel/org                               53
473     ....5    CW-30022-92       wire 22awg wht/red                               20
474     ....5    CW-30022-93       wire 22awg wht/org                               20
475     ....5    CW-30022-54       wire 22awg grn/yel                               48
476     ....5    CW-30022-91       wire 22awg wht/brn                               20
477     ....5    CW-30022-97       wire 22awg wht/vio                               37
478     ....5    CW-30022-7        wire 22awg violet                                37
479     ...4     5791-09138-00     9P1625 03-06-2092                                 1
480     ...4     5820-09078-00     pm1560 02-06-2101                                11
481     ...4     5791-10774-00     4P2004 03 06-2044                                 1
482     ...4     03-7520-2         tie wrap-nylon 3 7/8                              9
483     ...4     5822-10872-06     term 22-18 TAB.110                                2
484     ..3      A-15338           5 lamp pcb assy                                   1
485     ...4     A-15338-AI        5 lamp pcb assy                                   1
486     ....5    5768-13161-00     PCB-5 lamp                                        1
487     ....5    5070-09054-00     diode-1N4004 1.0a                                 5
488     ...4     24-8767           socket-pcb twist                                  5
489     ...4     24-8768           bulb #555 6.3Volts .25Amps                        5
490     ...4     5791-10871-07     7h spl sq pin .156                                1
491     ..3      03-7655-4         "clamp cable 1/4""dia"                            1
492     ..3      03-7655-8         "clamp cable 1/2""dia"                            2
493     ..3      02-4036-1         post-bumper                                       2
494     ..3      23-6556           rubber bumper sleeve-black                        2
495     .2       A-15178           ball guide assy                                   1
496     .2       A-15179           ball guide assy                                   1
497     .2       A-15180           ball guide assy                                   1
498     .2       A-15182           ball guide assy                                   1
499     .2       A-15205-L-2       electronc flipper asy-blu coil                    1
500     ..3      B-13104-L         flipper bracket staked assy                       1
501     ...4     B-13104.1-L       flipper brkt sub assy                             1
502     ..3      B-13882-L         crank link assy                                   1
503     ...4     B-13884-L         flipper crank assy                                1
504     ....5    01-8073-L         crank-flipper left                                1
505     ....5    4700-00107-01     fw modified crank washer                          1
506     ....5    RM-23-06          "heat shrink tubing 1/4"" DWP"                  0.5
507     ....5    4010-01066-20     cs 10-32X1 1/4 sh                                 1
508     ....5    4410-01127-00     nut 10-32 hex                                     1
509     ....5    4700-00107-00     fw .203X.625X.104                                 1
510     ....5    4701-00004-00     lw #10 split                                      1
511     ....5    01-9376           brkt retain spring                                1
512     ...4     A-10656           flipper link assy                                 1
513     ....5    02-4219           plunger coil                                      1
514     .....6   02-4219.1         plunger-coil                                      1
515     ....5    03-8050-1         flipper link                                      1
516     ....5    20-9370-1         pin spl 5/32 x 7/16                               1
